asn,exit,guard,middle
AS24940 Hetzner Online GmbH,40,261,80
AS197540 netcup GmbH,15,0,22
AS16276 OVH SAS,21,0,3
AS60729 Stiftung Erneuerbare Freiheit,21,0,2
AS8560 IONOS SE,12,0,7
AS396507 Emerald Onion,6,0,11
AS210558 1337 Services GmbH,16,0,0
AS1136 KPN B.V.,4,0,4
AS24961 WIIT AG,3,0,4
AS51396 Pfcloud UG,6,0,0
AS206236 default gateway UG (haftungsbeschraenkt),1,0,5
AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,6,0,0
AS30893 No ACK Group Holding AB,4,0,1
AS214379 South Park Networks LLC,4,0,1
AS207083 HostSlim B.V.,2,0,3
AS214503 QuxLabs AB,4,0,0
AS213873 OUIDO Hosting,4,0,0
AS12322 Free SAS,3,0,1
"AS30633 Leaseweb USA, Inc.",4,0,0
AS16125 UAB Cherry Servers,2,0,2
